Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Indonesia,01-01-2000,28.5,22.1,24.1,15.4,5.2,21.2,24818.88
Indonesia,02-01-2000,29.4,22.1,24.5,4.5,5.1,19.8,19353.46
Indonesia,03-01-2000,28.5,22.6,24.7,4.6,6.1,22,27907.23
Indonesia,04-01-2000,29.4,21.7,25,2.2,7.9,32.4,39588.21
Indonesia,05-01-2000,28.4,22.7,25.1,15.1,7.7,29.5,34042.54
Indonesia,06-01-2000,30,22.5,24.8,15.1,5,22.3,39600
Indonesia,07-01-2000,25.3,22.2,23.4,21.9,8,20.2,3381.66
Indonesia,08-01-2000,28.5,22.3,24.5,1.5,7.3,22,23031.3
Indonesia,09-01-2000,28.8,21.6,24.8,10.1,5.2,16.6,33516.67
Indonesia,10-01-2000,28.2,22.4,24.1,8.7,4.7,20.5,25096.88
Indonesia,11-01-2000,30.3,22.2,25.2,1.5,7.6,22.3,34635.63
Indonesia,12-01-2000,29.5,22.2,24.1,8.7,6.6,18.4,11271.02
Indonesia,13-01-2000,30.5,22.2,25.3,7.8,4.6,25.9,36757.91
Indonesia,14-01-2000,28.5,22.1,24.2,8.2,4.9,23,19641.45
Indonesia,15-01-2000,28.7,22,24.4,6.9,4.1,19.4,29607.45
Indonesia,16-01-2000,30,21.6,24.8,10.6,5.4,18.7,33444.45
Indonesia,17-01-2000,28.9,22.3,24.2,13.3,9.2,20.9,22959.25
Indonesia,18-01-2000,27.4,22.1,24,24.8,8,25.9,9941.74
Indonesia,19-01-2000,31.3,22.2,26,14,5.2,27.4,39600
Indonesia,20-01-2000,29.9,22.6,24.5,15.4,6.5,22.3,26754.59
Indonesia,21-01-2000,28.3,21.9,24.1,11.6,6.2,21.6,19227.67
Indonesia,22-01-2000,28.9,22.3,25.3,2.3,7.3,25.6,35960.56
Indonesia,23-01-2000,30,22.5,25.1,15.6,5.2,34.2,39621.38
Indonesia,24-01-2000,31.2,22.5,26.3,0.4,5.6,31.7,36482.37
Indonesia,25-01-2000,29.2,22.6,25.7,4.5,6.9,24.5,39048.54
Indonesia,26-01-2000,30.6,22.6,25.6,12.9,5.2,20.2,37171.79
Indonesia,27-01-2000,27.7,22.7,25,10.9,6.5,18.4,32400
Indonesia,28-01-2000,29.1,22.6,23.9,13.8,8.5,23.4,19834.96
Indonesia,29-01-2000,25.5,22.3,23.5,19.2,5.2,19.1,1241.46
Indonesia,30-01-2000,25.8,21.9,23.5,12,3.8,22,3228.77
Indonesia,31-01-2000,27.2,22.6,24.4,1,9.7,23,17015.71
Indonesia,01-02-2000,28.1,22.2,24.8,15,4.2,16.2,22333.12
Indonesia,02-02-2000,29.7,22.1,25.2,12,7.6,21.6,30208.96
Indonesia,03-02-2000,30.1,22.4,24.7,12.8,4.7,24.1,26718.86
Indonesia,04-02-2000,28.2,22.5,24.4,15.4,8.5,33.5,23208.28
